,0
0,3.727861605806256e-05
0,3.733515083461853e-05
0,3.73916856111791e-05
0,3.744822038773811e-05
0,3.7504755164294967e-05
0,3.7561289940855865e-05
0,3.761782471741375e-05
0,3.7674359493974145e-05
0,3.7730894270531697e-05
0,3.778742904708874e-05
0,3.7843963823649265e-05
0,3.790049860020797e-05
0,3.795703337676631e-05
0,3.801356815332417e-05
0,3.8070102929884274e-05
0,3.81266377064418e-05
0,3.818317248300098e-05
0,3.8239707259558723e-05
0,3.829624203611938e-05
0,3.835277681267637e-05
0,3.840931158923555e-05
0,3.84658463657947e-05
0,3.85223811423509e-05
0,3.8578915918912047e-05
0,3.863545069547049e-05
0,3.8691985472029744e-05
0,3.87485202485871e-05
0,3.8805055025146595e-05
0,3.8861589801706504e-05
0,3.8918124578260274e-05
0,3.897465935482139e-05
0,3.9031194131380153e-05
0,3.9087728907938755e-05
0,3.914426368449621e-05
0,3.9200798461057096e-05
0,3.9257333237614715e-05
0,3.931386801417302e-05
0,3.937040279073202e-05
0,3.942693756729264e-05
0,3.94834723438501e-05
0,3.954000712040744e-05
0,3.959654189696731e-05
0,3.965307667352334e-05
0,3.97096114500835e-05
0,3.976614622664257e-05
0,3.982268100320149e-05
0,3.987921577975885e-05
0,3.9935750556319125e-05
0,3.9992285332878336e-05
0,4.004882010943555e-05
0,4.010535488599593e-05
0,4.0161889662554005e-05
0,4.021842443911225e-05
0,4.0274959215671317e-05
0,4.0331493992230873e-05
0,4.0388028768786785e-05
0,4.044456354534551e-05
0,4.050109832190445e-05
0,4.0557633098464154e-05
0,4.0614167875021855e-05
0,4.067070265158107e-05
0,4.0727237428140196e-05
0,4.078377220469814e-05
0,4.0840306981255705e-05
0,4.0896841757813256e-05
0,4.095337653437394e-05
0,4.100991131093342e-05
0,4.106644608749224e-05
0,4.112298086404967e-05
0,4.1179515640608845e-05
0,4.123605041716825e-05
0,4.1292585193726786e-05
0,4.1349119970283884e-05
0,4.140565474684408e-05
0,4.146218952340112e-05
0,4.1518724299960115e-05
0,4.157525907651956e-05
0,4.163179385307791e-05
0,4.168832862963716e-05
0,4.1744863406192894e-05
0,4.1801398182755555e-05
0,4.1857932959315e-05
0,4.191446773587138e-05
0,4.197100251242822e-05
0,4.202753728898821e-05
0,4.2084072065547986e-05
0,4.2140606842105375e-05
0,4.2197141618663366e-05
0,4.2253676395222435e-05
0,4.2310211171782595e-05
0,4.2366745948339726e-05
0,4.24232807248984e-05
0,4.247981550145697e-05
0,4.253635027801666e-05
0,4.25928850545752e-05
0,4.264941983113525e-05
0,4.270595460769291e-05
0,4.2762489384250594e-05
0,4.281902416080949e-05
0,4.287555893736911e-05
0,4.293209371392764e-05
0,4.29886284904862e-05
0,4.304516326704312e-05
0,4.3101698043602365e-05
0,4.315823282016187e-05
0,4.321476759672098e-05
0,4.327130237327899e-05
0,4.33278371498368e-05
0,4.338437192639624e-05
0,4.3440906702956725e-05
0,4.349744147951643e-05
0,4.355397625607253e-05
0,4.3610511032629934e-05
0,4.3667045809189626e-05
0,4.372358058574745e-05
0,4.3780115362307236e-05
0,4.383665013886659e-05
0,4.389318491542442e-05
0,4.3949719691982166e-05
0,4.400625446854092e-05
0,4.40627892451018e-05
0,4.411932402166101e-05
0,4.417585879821611e-05
0,4.423239357477759e-05
0,4.4288928351333056e-05
0,4.434546312789382e-05
0,4.4401997904452645e-05
0,4.445853268101177e-05
0,4.4515067457570044e-05
0,4.457160223412667e-05
0,4.4628137010688135e-05
0,4.46846717872442e-05
0,4.474120656380206e-05
0,4.4797741340362726e-05
0,4.4854276116922405e-05
0,4.491081089347777e-05
0,4.49673456700384e-05
0,4.5023880446596705e-05
0,4.508041522315554e-05
0,4.5136949999715026e-05
0,4.519348477627477e-05
0,4.5250019552832676e-05
0,4.5306554329389495e-05
0,4.536308910594771e-05
